Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
17:45:37.0,1.257,1079.863
17:45:38.0,11.111,1078.816
17:45:39.0,13.93,1093.726
17:45:40.0,97.989,1113.945
17:45:41.0,88.0,1149.878
17:45:42.0,99.502,1228.253
17:45:43.0,98.994,1234.054
17:45:44.0,99.497,1253.074
17:45:45.0,99.502,1267.496
17:45:46.0,99.0,1265.675
17:45:47.0,98.009,1272.105
17:45:48.0,97.5,1266.679
17:45:49.0,99.0,1273.265
17:45:50.0,97.487,1266.574
17:45:51.0,98.009,1268.417
17:45:52.0,96.984,1270.335
17:45:53.0,98.009,1261.589
17:45:54.0,99.5,1271.25
17:45:55.0,99.5,1265.609
17:45:56.0,99.497,1264.746
17:45:57.0,98.009,1265.703
17:45:58.0,100.0,1272.105
17:45:59.0,99.0,1269.316
17:46:00.0,99.5,1274.718
17:46:01.0,99.5,1268.382
17:46:02.0,98.5,1263.929
17:46:03.0,100.0,1269.933
17:46:04.0,99.004,1267.015
17:46:05.0,98.994,1271.14
17:46:06.0,98.0,1267.394
17:46:07.0,99.0,1269.636
17:46:08.0,98.994,1268.371
17:46:09.0,99.004,1267.644
17:46:10.0,99.502,1271.035
17:46:11.0,99.5,1270.328
17:46:12.0,99.497,1273.152
17:46:13.0,98.507,1271.675
17:46:14.0,99.5,1277.078
17:46:15.0,98.994,1271.917
17:46:16.0,100.0,1272.273
17:46:17.0,99.5,1269.75
17:46:18.0,99.497,1272.539
17:46:19.0,99.004,1277.531
17:46:20.0,99.497,1271.042
17:46:21.0,99.004,1269.121
17:46:22.0,100.0,1276.593
17:46:23.0,99.0,1276.316
17:46:24.0,99.502,1271.929
17:46:25.0,99.497,1278.082
17:46:26.0,100.0,1271.3
17:46:27.0,98.507,1274.574
17:46:28.0,99.0,1277.644
17:46:29.0,99.497,1272.898
17:46:30.0,99.004,1275.226
17:46:31.0,98.994,1278.882
17:46:32.0,99.004,1266.636
17:46:33.0,99.0,1270.097
17:46:34.0,99.5,1273.761
17:46:35.0,99.5,1270.378
17:46:36.0,99.5,1269.183
17:46:37.0,99.0,1264.66
