Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
15:40:39.0,1.816,1059.082
15:40:40.0,98.009,1073.39
15:40:41.0,99.497,1087.894
15:40:42.0,98.0,1112.554
15:40:43.0,99.0,1157.089
15:40:44.0,99.502,1235.855
15:40:45.0,100.0,1271.816
15:40:46.0,100.0,1393.179
15:40:47.0,99.5,1446.585
15:40:48.0,99.004,1486.718
15:40:49.0,99.5,1555.41
15:40:50.0,99.0,1588.593
15:40:51.0,100.0,1610.109
15:40:52.0,99.004,1603.964
15:40:53.0,99.0,1605.886
15:40:54.0,99.0,1586.683
15:40:55.0,99.004,1594.105
15:40:56.0,99.0,1599.621
15:40:57.0,99.494,1600.589
15:40:58.0,99.504,1596.273
15:40:59.0,100.0,1595.964
15:41:00.0,99.0,1596.085
15:41:01.0,99.5,1594.242
15:41:02.0,99.5,1605.039
15:41:03.0,99.502,1606.41
15:41:04.0,100.0,1592.683
15:41:05.0,99.0,1602.429
15:41:06.0,99.502,1593.957
15:41:07.0,99.497,1608.253
15:41:08.0,99.5,1606.261
15:41:09.0,99.004,1596.32
15:41:10.0,99.497,1596.871
15:41:11.0,99.004,1593.8
15:41:12.0,99.5,1606.921
15:41:13.0,99.004,1605.398
15:41:14.0,99.494,1605.605
15:41:15.0,100.0,1594.855
15:41:16.0,99.5,1597.222
15:41:17.0,99.0,1604.89
15:41:18.0,99.0,1611.347
15:41:19.0,99.004,1607.324
15:41:20.0,100.0,1600.363
15:41:21.0,99.497,1594.695
15:41:22.0,99.502,1604.398
15:41:23.0,100.0,1605.652
15:41:24.0,99.5,1608.32
15:41:25.0,99.5,1603.136
15:41:26.0,99.004,1597.765
15:41:27.0,100.0,1605.644
15:41:28.0,99.004,1607.964
15:41:29.0,100.0,1602.41
15:41:30.0,99.504,1607.597
15:41:31.0,99.5,1601.55
15:41:32.0,99.0,1607.468
15:41:33.0,100.0,1610.406
15:41:34.0,99.5,1604.511
15:41:35.0,99.497,1605.746
15:41:36.0,99.502,1603.777
15:41:37.0,99.5,1608.816
15:41:38.0,99.0,1606.46
15:41:39.0,99.0,1608.074
15:41:40.0,99.0,1585.539
15:41:41.0,99.004,1556.421
