timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485781675085,4250,wordpress,200,OK,User 1-39,text,true,,21001,381,100,100,17,0,15
1485781675052,4335,wordpress,200,OK,User 1-19,text,true,,21001,381,100,100,6,0,4
1485781675096,4300,wordpress,200,OK,User 1-41,text,true,,21001,381,100,100,22,0,20
1485781675111,4307,wordpress,200,OK,User 1-49,text,true,,21001,381,100,100,23,0,20
1485781675102,4320,wordpress,200,OK,User 1-42,text,true,,21001,381,100,100,24,0,21
1485781675086,4343,wordpress,200,OK,User 1-40,text,true,,21001,381,100,100,15,0,14
1485781675108,4328,wordpress,200,OK,User 1-56,text,true,,21001,381,100,100,28,0,25
1485781675120,4320,wordpress,200,OK,User 1-51,text,true,,21001,381,100,100,23,0,20
1485781675079,4376,wordpress,200,OK,User 1-35,text,true,,21001,381,100,100,25,0,5
1485781675030,4426,wordpress,200,OK,User 1-8,text,true,,21001,381,100,100,5,0,2
1485781675089,4379,wordpress,200,OK,User 1-34,text,true,,21001,381,100,100,15,0,12
1485781675104,4369,wordpress,200,OK,User 1-43,text,true,,21001,381,100,100,23,0,19
1485781675041,4490,wordpress,200,OK,User 1-13,text,true,,21001,381,100,100,6,0,4
1485781675128,4415,wordpress,200,OK,User 1-67,text,true,,21001,381,100,100,22,0,15
1485781675061,4490,wordpress,200,OK,User 1-25,text,true,,21001,381,100,100,4,0,2
1485781675023,4529,wordpress,200,OK,User 1-2,text,true,,21001,381,100,100,3,0,1
1485781675112,4443,wordpress,200,OK,User 1-48,text,true,,21001,381,100,100,20,0,19
1485781675100,4459,wordpress,200,OK,User 1-50,text,true,,21001,381,100,100,18,0,17
1485781675135,4428,wordpress,200,OK,User 1-52,text,true,,21001,381,100,100,15,0,13
1485781675060,4507,wordpress,200,OK,User 1-22,text,true,,21001,381,100,100,5,0,3
1485781675113,4458,wordpress,200,OK,User 1-46,text,true,,21001,381,100,100,16,0,14
1485781675061,4510,wordpress,200,OK,User 1-23,text,true,,21001,381,100,100,4,0,3
1485781675057,4526,wordpress,200,OK,User 1-21,text,true,,21001,381,100,100,5,0,1
1485781675066,4521,wordpress,200,OK,User 1-26,text,true,,21001,381,100,100,3,0,1
1485781675120,4471,wordpress,200,OK,User 1-60,text,true,,21001,381,100,100,21,0,19
1485781675073,4526,wordpress,200,OK,User 1-29,text,true,,21001,381,100,100,13,0,2
1485781675140,4459,wordpress,200,OK,User 1-58,text,true,,21001,381,100,100,13,0,10
1485781675156,4455,wordpress,200,OK,User 1-85,text,true,,21001,381,100,100,3,0,2
1485781675076,4539,wordpress,200,OK,User 1-32,text,true,,21001,381,100,100,31,0,29
1485781675140,4475,wordpress,200,OK,User 1-55,text,true,,21001,381,100,100,14,0,10
1485781675133,4494,wordpress,200,OK,User 1-64,text,true,,21001,381,100,100,16,0,12
1485781675051,4576,wordpress,200,OK,User 1-18,text,true,,21001,381,100,100,4,0,1
1485781675160,4487,wordpress,200,OK,User 1-90,text,true,,21001,381,100,100,4,0,1
1485781675060,4615,wordpress,200,OK,User 1-24,text,true,,21001,381,100,100,4,0,3
1485781675114,4601,wordpress,200,OK,User 1-44,text,true,,21001,381,100,100,21,0,18
1485781675090,4723,wordpress,200,OK,User 1-36,text,true,,21001,381,100,100,12,0,11
1485781675158,4702,wordpress,200,OK,User 1-73,text,true,,21001,381,100,100,8,0,6
1485781675132,4771,wordpress,200,OK,User 1-69,text,true,,21001,381,100,100,16,0,12
1485781675098,4835,wordpress,200,OK,User 1-38,text,true,,21001,381,100,100,20,0,18
1485781675147,4808,wordpress,200,OK,User 1-61,text,true,,21001,381,100,100,20,0,17
1485781675109,4878,wordpress,200,OK,User 1-45,text,true,,21001,381,100,100,28,0,23
1485781675158,4861,wordpress,200,OK,User 1-89,text,true,,21001,381,100,100,9,0,2
1485781675035,4989,wordpress,200,OK,User 1-10,text,true,,21001,381,100,100,4,0,2
1485781675025,5010,wordpress,200,OK,User 1-3,text,true,,21001,381,100,100,13,0,9
1485781675069,4978,wordpress,200,OK,User 1-28,text,true,,21001,381,100,100,4,0,1
1485781675088,4967,wordpress,200,OK,User 1-37,text,true,,21001,381,100,100,15,0,14
1485781675157,4899,wordpress,200,OK,User 1-91,text,true,,21001,381,100,100,10,0,8
1485781675026,5030,wordpress,200,OK,User 1-4,text,true,,21001,381,100,100,4,0,3
1485781675032,5027,wordpress,200,OK,User 1-9,text,true,,21001,381,100,100,5,0,2
1485781675046,5017,wordpress,200,OK,User 1-15,text,true,,21001,381,100,100,3,0,2
1485781675047,5020,wordpress,200,OK,User 1-16,text,true,,21001,381,100,100,5,0,2
