Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
20:04:01.0,1.753,1089.968
20:04:02.0,90.452,1087.238
20:04:03.0,98.994,1100.742
20:04:04.0,99.502,1120.996
20:04:05.0,100.0,1182.292
20:04:06.0,100.0,1265.593
20:04:07.0,99.5,1333.117
20:04:08.0,99.502,1433.73
20:04:09.0,100.0,1466.953
20:04:10.0,99.0,1538.328
20:04:11.0,100.0,1592.847
20:04:12.0,99.502,1609.332
20:04:13.0,99.497,1624.804
20:04:14.0,99.004,1609.921
20:04:15.0,100.0,1610.617
20:04:16.0,99.5,1604.968
20:04:17.0,99.0,1612.929
20:04:18.0,100.0,1620.195
20:04:19.0,99.004,1607.414
20:04:20.0,99.0,1613.906
20:04:21.0,100.0,1623.132
20:04:22.0,100.0,1607.218
20:04:23.0,99.497,1619.628
20:04:24.0,99.502,1613.167
20:04:25.0,100.0,1610.25
20:04:26.0,99.502,1620.718
20:04:27.0,99.5,1617.589
20:04:28.0,99.5,1613.875
20:04:29.0,99.497,1614.718
20:04:30.0,,1618.886
20:04:31.0,99.502,
20:04:32.0,99.5,1612.968
20:04:33.0,99.5,1619.285
20:04:34.0,99.497,1615.953
20:04:35.0,99.502,1603.671
20:04:36.0,100.0,1613.746
20:04:37.0,99.494,1612.507
20:04:38.0,98.009,1620.656
20:04:39.0,99.5,1619.71
20:04:40.0,99.5,1606.421
20:04:41.0,100.0,1606.781
20:04:42.0,99.5,1610.085
20:04:43.0,97.014,1616.191
20:04:44.0,97.5,1622.867
20:04:45.0,99.497,1617.015
20:04:46.0,99.502,1618.863
20:04:47.0,100.0,1611.738
20:04:48.0,100.0,1614.875
20:04:49.0,99.004,1613.433
20:04:50.0,100.0,1625.25
20:04:51.0,99.5,1616.519
20:04:52.0,99.497,1615.371
20:04:53.0,99.502,1616.128
20:04:54.0,99.497,1610.39
20:04:55.0,99.502,1623.585
20:04:56.0,99.5,1617.878
20:04:57.0,99.0,1619.378
20:04:58.0,99.0,1614.648
20:04:59.0,99.5,1617.957
20:05:00.0,99.004,1618.027
20:05:01.0,99.5,1624.308
20:05:02.0,99.497,1603.835
