Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
23:40:42.0,1.925,1059.968
23:40:43.0,97.487,1067.941
23:40:44.0,100.0,1077.964
23:40:45.0,98.492,1087.312
23:40:46.0,99.5,1126.535
23:40:47.0,99.5,1174.347
23:40:48.0,99.502,1256.332
23:40:49.0,99.497,1312.742
23:40:50.0,99.502,1394.082
23:40:51.0,99.0,1458.703
23:40:52.0,100.0,1497.261
23:40:53.0,99.5,1561.718
23:40:54.0,99.5,1572.441
23:40:55.0,99.497,1558.515
23:40:56.0,99.5,1567.39
23:40:57.0,99.004,1594.812
23:40:58.0,98.5,1573.023
23:40:59.0,99.502,1580.406
23:41:00.0,98.0,1595.843
23:41:01.0,95.477,1569.312
23:41:02.0,96.019,1566.937
23:41:03.0,96.0,1584.066
23:41:04.0,96.0,1575.382
23:41:05.0,98.0,1577.062
23:41:06.0,98.5,1596.429
23:41:07.0,98.994,1580.316
23:41:08.0,99.0,1566.73
23:41:09.0,99.0,1583.558
23:41:10.0,100.0,1591.796
23:41:11.0,99.0,1584.992
23:41:12.0,99.004,1597.859
23:41:13.0,99.497,1594.558
23:41:14.0,99.5,1573.667
23:41:15.0,99.0,1572.875
23:41:16.0,99.5,1591.253
23:41:17.0,99.502,1588.882
23:41:18.0,100.0,1592.878
23:41:19.0,99.0,1605.332
23:41:20.0,99.004,1584.152
23:41:21.0,99.497,1568.382
23:41:22.0,99.5,1587.601
23:41:23.0,99.0,1587.476
23:41:24.0,99.004,1591.808
23:41:25.0,98.994,1601.671
23:41:26.0,99.5,1585.73
23:41:27.0,98.5,1575.914
23:41:28.0,99.5,1589.421
23:41:29.0,99.0,1587.417
23:41:30.0,99.004,1593.492
23:41:31.0,99.0,1605.417
23:41:32.0,99.497,1595.789
23:41:33.0,99.004,1585.046
23:41:34.0,99.0,1586.824
23:41:35.0,99.502,1592.121
23:41:36.0,99.494,1590.757
23:41:37.0,99.0,1599.722
23:41:38.0,99.004,1599.277
23:41:39.0,100.0,1590.726
23:41:40.0,99.004,1585.476
23:41:41.0,99.004,1596.703
23:41:42.0,98.994,1591.089
23:41:43.0,100.0,1580.589
23:41:44.0,99.5,1548.57
