Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
20:20:01.0,3.78,1056.718
20:20:02.0,86.0,1062.191
20:20:03.0,99.497,1064.562
20:20:04.0,91.959,1073.035
20:20:05.0,99.5,1083.117
20:20:06.0,99.5,1089.71
20:20:07.0,96.517,1094.019
20:20:08.0,99.019,1098.937
20:20:09.0,89.743,1097.953
20:20:10.0,98.507,1099.347
20:20:11.0,96.5,1103.652
20:20:12.0,99.0,1097.253
20:20:13.0,96.0,1098.64
20:20:14.0,99.502,1098.664
20:20:15.0,98.0,1098.468
20:20:16.0,99.5,1103.316
20:20:17.0,99.5,1093.839
20:20:18.0,98.994,1097.464
20:20:19.0,99.502,1100.855
20:20:20.0,99.497,1097.91
20:20:21.0,99.0,1102.136
20:20:22.0,98.507,1101.578
20:20:23.0,99.497,1100.054
20:20:24.0,99.004,1101.531
20:20:25.0,99.497,1101.421
20:20:26.0,99.0,1097.285
20:20:27.0,99.5,1102.445
20:20:28.0,98.994,1096.574
20:20:29.0,99.502,1099.121
20:20:30.0,99.5,1099.496
20:20:31.0,99.497,1099.718
20:20:32.0,100.0,1100.808
20:20:33.0,99.0,1101.437
20:20:34.0,99.5,1102.296
20:20:35.0,99.004,1100.031
20:20:36.0,100.0,1101.113
20:20:37.0,99.502,1102.027
20:20:38.0,99.5,1098.894
20:20:39.0,100.0,1104.437
20:20:40.0,99.009,1099.085
20:20:41.0,99.0,1102.265
20:20:42.0,99.0,1104.421
20:20:43.0,99.5,1102.664
20:20:44.0,98.5,1102.359
20:20:45.0,99.5,1102.437
20:20:46.0,99.5,1104.07
20:20:47.0,99.5,1101.308
20:20:48.0,98.994,1102.164
20:20:49.0,99.5,1104.046
20:20:50.0,99.004,1101.761
20:20:51.0,100.0,1103.417
20:20:52.0,99.0,1102.089
20:20:53.0,99.5,1102.292
20:20:54.0,98.507,1099.722
20:20:55.0,99.0,1104.382
20:20:56.0,97.989,1104.367
20:20:57.0,98.009,1099.507
20:20:58.0,98.994,1104.531
20:20:59.0,98.009,1102.648
20:21:00.0,98.0,1102.347
20:21:01.0,100.0,1103.23
