Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
11:29:43.0,1.085,1081.078
11:29:44.0,78.499,1089.871
11:29:45.0,98.994,1110.375
11:29:46.0,99.0,1133.648
11:29:47.0,99.497,1160.429
11:29:48.0,98.019,1194.457
11:29:49.0,99.0,1266.085
11:29:50.0,99.0,1349.253
11:29:51.0,99.0,1363.773
11:29:52.0,98.994,1421.375
11:29:53.0,98.507,1426.8
11:29:54.0,99.5,1419.433
11:29:55.0,98.5,1416.335
11:29:56.0,99.0,1421.679
11:29:57.0,99.0,1420.75
11:29:58.0,98.5,1400.945
11:29:59.0,99.5,1411.066
11:30:00.0,99.5,1407.96
11:30:01.0,99.0,1394.199
11:30:02.0,98.507,1390.285
11:30:03.0,99.0,1396.48
11:30:04.0,98.5,1385.32
11:30:05.0,98.994,1382.66
11:30:06.0,99.0,1387.878
11:30:07.0,97.512,1385.125
11:30:08.0,98.0,1384.203
11:30:09.0,99.497,1384.554
11:30:10.0,99.004,1386.011
11:30:11.0,99.0,1385.5
11:30:12.0,99.497,1383.949
11:30:13.0,99.502,1385.082
11:30:14.0,98.009,1387.054
11:30:15.0,98.5,1383.57
11:30:16.0,98.492,1385.574
11:30:17.0,98.5,1385.218
11:30:18.0,98.5,1384.66
11:30:19.0,98.507,1391.312
11:30:20.0,98.5,1389.882
11:30:21.0,99.0,1378.273
11:30:22.0,99.0,1382.023
11:30:23.0,98.492,1383.527
11:30:24.0,99.0,1375.539
11:30:25.0,98.5,1379.269
11:30:26.0,98.5,1387.332
11:30:27.0,99.004,1372.804
11:30:28.0,98.5,1374.48
11:30:29.0,98.5,1385.414
11:30:30.0,97.5,1367.781
11:30:31.0,98.5,1379.566
11:30:32.0,99.0,1383.632
11:30:33.0,98.5,1376.843
11:30:34.0,98.5,1377.652
11:30:35.0,98.0,1382.316
11:30:36.0,99.0,1377.187
11:30:37.0,99.502,1377.425
11:30:38.0,99.497,1383.046
11:30:39.0,99.5,1373.078
11:30:40.0,98.5,1380.714
11:30:41.0,99.004,1380.222
11:30:42.0,98.492,1377.23
11:30:43.0,98.5,1378.464
11:30:44.0,99.0,1368.152
